id,status,vertical,category,url,visual_filters_found,heading_or_note
1013,live,Programming & Tech,E-Commerce Development > Help/Consultation,https://www.fiverr.com/categories/programming-tech/ecommerce-services/help-consultation,NO,NSC hidden at DB level; URL redirects to unrelated generic SC page
1029,live,Programming & Tech,Website Builders & CMS > Landing Page,https://www.fiverr.com/categories/programming-tech/web-cms-services/landing-page,NO,NSC hidden at DB level; URL redirects to unrelated generic SC page
2060,live,Digital Marketing,Social Media Marketing > Consultation & Audience Research,https://www.fiverr.com/categories/online-marketing/social-marketing/consultation-audience-research,NO,NSC hidden at DB level even though parent SC (Social Media Marketing) is live; page falls back to parent SC content with no tile row
2061,live,Digital Marketing,Social Media Marketing > Profile Setup & Integration,https://www.fiverr.com/categories/online-marketing/social-marketing/profile-setup-integration,YES,Select social platform
2062,live,Digital Marketing,Social Media Marketing > Social Content,https://www.fiverr.com/categories/online-marketing/social-marketing/social-content,YES,Select social platform
2063,live,Digital Marketing,Social Media Marketing > Social Media Management,https://www.fiverr.com/categories/online-marketing/social-marketing/social-media-management,YES,Select social platform
2065,live,Digital Marketing,Social Media Marketing > Analytics & Tracking,https://www.fiverr.com/categories/online-marketing/social-marketing/analytics-tracking,YES,Select social platform
2240,live,Writing & Translation,Book & eBook Writing > Ghostwriting,https://www.fiverr.com/categories/writing-translation/book-and-ebook-writing/ghostwriting,YES,Select language
2243,candidate,Programming & Tech,Game Development > Full Game Creation,https://www.fiverr.com/categories/programming-tech/game-development/full-game-creation,NO,candidate
2245,candidate,Programming & Tech,Game Development > Customization,https://www.fiverr.com/categories/programming-tech/game-development/customization,NO,candidate
2328,live,Video & Animation,Music Videos > Lyric Videos,https://www.fiverr.com/categories/video-animation/music-videos/lyric-videos,YES,Select video type
2329,live,Video & Animation,Music Videos > Music Visualization,https://www.fiverr.com/categories/video-animation/music-videos/music-visualization,YES,Select video type
2330,live,Video & Animation,Music Videos > Dance Videos,https://www.fiverr.com/categories/video-animation/music-videos/dance-videos,YES,Select video type
2331,live,Video & Animation,Music Videos > Narrative-Based Videos,https://www.fiverr.com/categories/video-animation/music-videos/narrative-videos,YES,Select video type
2332,live,Video & Animation,Music Videos > Performance Videos,https://www.fiverr.com/categories/video-animation/music-videos/performance-videos,YES,Select video type
2333,live,Video & Animation,Music Videos > Conceptual Videos,https://www.fiverr.com/categories/video-animation/music-videos/conceptual-videos,YES,Select video type
2341,live,Video & Animation,Music Videos > Anime Music Videos,https://www.fiverr.com/categories/video-animation/music-videos/anime-music-videos,YES,Select video type
2357,live,Programming & Tech,Development for Streamers > Setup & Installation,https://www.fiverr.com/categories/programming-tech/development-for-streamers/setup-installation,YES,Select software
2358,live,Programming & Tech,Development for Streamers > Addons & Customization,https://www.fiverr.com/categories/programming-tech/development-for-streamers/addons-customization,NO,no visual-filters strip found
2412,live,Graphics & Design,Fashion Design > Technical Drawing & Tech Pack,https://www.fiverr.com/categories/graphics-design/fashion-design/technical-drawing,YES,Select item type
2414,live,Graphics & Design,Fashion Design > Fashion Illustration,https://www.fiverr.com/categories/graphics-design/fashion-design/fashion-illustration,YES,Select item type
2416,live,Graphics & Design,Fashion Design > Full Design Process,https://www.fiverr.com/categories/graphics-design/fashion-design/full-design-process,YES,Select gender / group
2441,live,Video & Animation,Animated Explainers > 2D Animated Explainers,https://www.fiverr.com/categories/video-animation/animated-explainer-videos/2d,YES,Select explainer type
2442,live,Video & Animation,Animated Explainers > 3D Animated Explainers,https://www.fiverr.com/categories/video-animation/animated-explainer-videos/3d,YES,Select explainer type
2443,live,Video & Animation,Animated Explainers > Isometric Explainers,https://www.fiverr.com/categories/video-animation/animated-explainer-videos/isometric,YES,Select explainer type
2489,live,Video & Animation,Music Videos > Spotify Canvas,https://www.fiverr.com/categories/video-animation/music-videos/spotify-canvas,NO,no visual-filters strip found
2619,live,Programming & Tech,Website Maintenance > Bug Fixes,https://www.fiverr.com/categories/programming-tech/website-maintenance/bug-fixes,YES,Select platform
